Год,янв,фев,мар,апр,май,июн,июл,авг,сен,окт,ноя,дек,средняя
1923,-6.6,-13.5,-8.2,-5,2.9,12.1,14.3,9.6,9.1,4.4,-2.7,-9,0.6
1924,-16,-11.2,-6.2,-1.6,5.7,9.5,13,14.4,9.2,2.8,-1.5,-7.5,0.9
1925,-7.1,-7.8,-10.5,-0.4,5.3,10.9,18.2,13.7,7,-0.5,-8,-11.6,0.8
1926,-12.9,-12.4,-6.4,-3.6,5.3,13.8,11.1,11.1,7.7,-0.3,-3.2,-12.2,-0.2
1927,-18.5,-8.6,-7.4,-0.7,5,12.9,16.8,15.7,6.5,-0.2,-6.8,-10.8,0.3
1928,-9.2,-11,-7.7,-2.8,6.3,10.1,14.4,13.1,7.1,0.6,-8,-5.7,0.6
1929,-15.8,-19.4,-11.3,-9.2,5.9,10.8,14,13.7,7.2,4.1,-1,-7,-0.7
1930,-4.1,-12.4,-9.7,-2.7,6.2,9.4,14.5,17.2,5.4,1.4,-3.4,-12.7,0.8
1931,-15.3,-12.4,-10,0.5,8.1,11.4,18.3,16.4,7.2,2,-3.4,-8.9,1.2
1932,-7.7,-14.9,-10.4,1.7,5.2,11.1,16.5,16.2,9.3,2.9,-3.2,-4,1.9
1933,-14.3,-13.6,-10.1,-0.8,3.9,13,18.3,11.2,7.3,2.9,-6.1,-15.4,-0.3
1934,-5.4,-11.9,-8.1,-1.9,9,11.6,18.5,12.8,8,2.3,-1.4,-6.8,2.2
1935,-13,-6.7,-6.5,-0.6,3.2,11.8,14.2,13,7.1,2.3,-2.2,-4.6,1.5
1936,-12.1,-19.3,-7.1,1.1,6.9,17,18,15.1,7.6,0.7,0,-2.1,2.2
1937,-8.6,-9.3,-6.2,2.2,6.4,15.9,16,16.3,8.6,3.5,-2.2,-13.6,2.4
1938,-12.8,-9,-4.5,-0.1,7.2,12.4,20.6,14.5,11.3,1.4,-1,-9.6,2.5
1939,-12.8,-9.8,-6.4,-2.6,3.9,12.6,14.7,13.8,5,0.2,-0.3,-9.9,0.7
1940,-22.7,-17.3,-12.5,-1.9,4.8,12.2,17.5,16.1,9.8,0.5,-3.5,-10.9,-0.7
1941,-18.8,-12.4,-15,-5.2,2.4,8.4,17.2,14,5.8,-0.3,-5.8,-20,-2.5
1942,-16.4,-13.1,-14.8,-1.6,5.7,12.4,14,12.9,8.2,1.6,-6,-7.7,-0.4
1943,-15.1,-5.4,-4.2,1.2,7.5,13.9,18.9,13.2,8,2.4,-0.8,-6.1,2.8
